Genre,Director,Actor1,Actor2,Year,Runtime,Rating
Sci-Fi,Wong,DiCaprio,DiCaprio,2011,95,3.842182731029295
Romance,Wong,DiCaprio,Hanks,1989,103,3.2929726066013365
Sci-Fi,Tarantino,Streep,DiCaprio,2008,132,3.789241482791397
Comedy,Spielberg,DiCaprio,Johansson,2012,153,1.8474789982061917
Romance,Tarantino,Johansson,Johansson,2012,116,7.090719313248894
Comedy,Tarantino,Cruise,DiCaprio,2017,118,4.137903689687565
Drama,Nolan,DiCaprio,Hanks,2010,95,8.335097355725075
Drama,Tarantino,Cruise,Johansson,1983,169,5.18021025947292
Drama,Cameron,Cruise,Johansson,1988,107,2.2605172388580552
Drama,Tarantino,Johansson,Hanks,2011,104,4.038611218484175
Romance,Tarantino,Johansson,Cruise,2010,123,8.73133955508636
Comedy,Wong,Streep,DiCaprio,1985,113,3.229890923559899
Romance,Spielberg,Johansson,DiCaprio,1998,141,5.839491423935412
Romance,Spielberg,DiCaprio,Cruise,1986,152,6.03930880030131
Sci-Fi,Spielberg,Johansson,Streep,2022,86,2.9782574663372126
Romance,Tarantino,Cruise,Johansson,1992,120,7.947444977172446
Sci-Fi,Cameron,Cruise,Cruise,2019,91,3.5438800785039923
Romance,Cameron,Cruise,DiCaprio,1988,103,2.9233235180108657
Action,Cameron,Hanks,Hanks,1994,84,5.79442573405478
Drama,Tarantino,Johansson,Hanks,1988,156,4.193275734187473
Action,Cameron,Johansson,Johansson,2018,88,7.998166164940998
Drama,Wong,DiCaprio,Hanks,1989,87,1.2191966091352182
Romance,Tarantino,Cruise,Cruise,2016,138,6.688922798219965
Comedy,Spielberg,Hanks,Johansson,1991,169,9.463274219025836
Comedy,Tarantino,Johansson,Hanks,2010,129,4.956420117272087
Romance,Spielberg,Streep,Hanks,2017,100,4.92561574508346
Comedy,Cameron,Cruise,Cruise,2010,90,6.059806506167744
Action,Tarantino,Johansson,Streep,2002,130,8.345306344213322
Action,Cameron,Cruise,Johansson,2010,161,1.0557069030216955
Sci-Fi,Tarantino,Streep,Streep,1992,161,1.4312778747368402
Romance,Nolan,Cruise,Cruise,2017,157,4.281843379855465
Romance,Tarantino,Hanks,Hanks,1997,101,9.845477488079746
Drama,Spielberg,Hanks,Cruise,2011,145,1.208787218925894
